Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
1783,Comcast,"San Francisco, CA",2020-01-30T06:26:03.060124Z,2.777191835641523,17.003,74864377.83404964,12227633.983783513,,24.5.175.46
17846,"Sonic.net, Inc.","San Jose, CA",2020-01-30T06:34:20.785244Z,9.34389112902056,27.562,68137638.81619525,11645045.589511538,,199.116.118.152
11613,KamaTera INC,"Santa Clara, CA",2020-01-30T06:45:02.011297Z,7.985777377206797,24.181,75351801.27894837,11620801.86691734,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T06:46:24.519054Z,5.628632987343493,24.348,77337913.81654908,11525099.478822615,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T07:00:01.762288Z,5.628632987343493,26.44,62961130.14590134,11496119.882729828,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T07:30:01.992192Z,5.628632987343493,37.395,65448588.267779306,11519240.338734575,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T08:00:01.379437Z,5.628632987343493,28.971,73185546.82959962,11610011.720011704,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T08:30:01.661662Z,5.628632987343493,31.927,67895763.07438305,11515817.573639927,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T09:00:01.491735Z,5.628632987343493,27.583,67719550.79586948,11499788.90630559,,199.116.118.152
11613,KamaTera INC,"Santa Clara, CA",2020-01-30T09:30:01.401690Z,7.985777377206797,24.427,71703684.7830429,11569615.641178396,,199.116.118.152
11613,KamaTera INC,"Santa Clara, CA",2020-01-30T10:00:02.211039Z,7.985777377206797,24.652,68643429.27752078,10982961.553536637,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T10:30:01.650536Z,5.628632987343493,24.119,56969398.508551374,5911222.249898879,,199.116.118.152
11613,KamaTera INC,"Santa Clara, CA",2020-01-30T11:00:01.569045Z,7.985777377206797,26.214,74725851.56992888,2488912.528604042,,199.116.118.152
11613,KamaTera INC,"Santa Clara, CA",2020-01-30T11:30:02.137694Z,7.985777377206797,24.296,50496141.80300113,8172456.314339628,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T12:00:01.723090Z,5.628632987343493,24.749,71307763.77743807,11652035.863337839,,199.116.118.152
24934,Razzolink Inc,"San Jose, CA",2020-01-30T12:30:01.648250Z,5.628632987343493,24.994,69558773.73099193,11640134.828696065,,199.116.118.152
1783,Comcast,"San Francisco, CA",2020-01-30T14:00:03.392009Z,2.777191835641523,21.55,80196596.29462315,12017472.451100739,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T14:30:01.456908Z,2.777191835641523,19.911,75138763.6176375,11860472.195021678,,24.5.175.46
5026,AT&T,"San Francisco, CA",2020-01-30T15:00:01.526472Z,2.777191835641523,23.777,75164413.2313605,12275952.426696818,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T15:30:01.332880Z,2.777191835641523,20.953,76374368.08304371,12256565.615779113,,24.5.175.46
17587,Wiline Networks,"San Francisco, CA",2020-01-30T16:00:02.046445Z,2.777191835641523,21.803,76120939.50728707,12245169.018159784,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T16:30:01.912999Z,2.777191835641523,20.048,77673384.36250152,11995006.578992913,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T17:00:02.496404Z,2.777191835641523,20.057,80620486.14840145,12321712.23523457,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T17:30:02.175715Z,2.777191835641523,20.276,74975217.70135938,12318877.213350203,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T18:00:01.962671Z,2.777191835641523,21.844,79220670.37857652,12062810.239556072,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T18:30:01.970471Z,2.777191835641523,21.23,77219628.35251987,12072455.643859865,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T22:00:02.423414Z,2.777191835641523,20.587,80292362.11871473,12242170.805981629,,24.5.175.46
1783,Comcast,"San Francisco, CA",2020-01-30T22:30:01.332063Z,2.777191835641523,21.229,77489040.80868824,12186994.423438363,,24.5.175.46
